pattern,n_coarse,n_fine,ours_variance,own_grid_opt,ref_opt,seam_gap_pct,quant_gap_pct,total_gap_pct,quant_km,ours_calls,exhaustive_calls,call_ratio,certified,certified_rounds,certified_calls,certified_gap_pct,city,n,seed
h3,438,3077,304.1416,304.1416,303.9674,0.0,0.0573,0.0573,0.2255,2510,15385,0.1631,True,5,2950,0.0573,london,5,0
square,392,2735,304.4684,304.4684,303.9674,0.0,0.1648,0.1648,0.1413,2530,13675,0.185,True,7,2880,0.1648,london,5,0
octile,392,2735,304.4684,304.4684,303.9674,0.0,0.1648,0.1648,0.1413,2565,13675,0.1876,True,7,2910,0.1648,london,5,0
triangle,393,2744,304.303,304.303,303.9674,0.0,0.1104,0.1104,0.151,2455,13720,0.1789,True,12,2950,0.1104,london,5,0
trunc_square,390,2737,304.0111,304.0111,303.9674,0.0,0.0144,0.0144,0.1082,2580,13685,0.1885,True,5,2885,0.0144,london,5,0
poisson,392,2754,304.5239,304.5239,303.9674,0.0,0.1831,0.1831,0.2225,2555,13770,0.1855,True,8,2925,0.1831,london,5,0
h3,401,2816,159.2005,159.2005,158.7245,-0.0,0.2999,0.2999,0.2386,2515,14080,0.1786,True,2,2700,0.2999,london,5,1
square,360,2511,159.1827,159.1827,158.7245,0.0,0.2887,0.2887,0.2226,2310,12555,0.184,True,4,2570,0.2887,london,5,1
octile,360,2511,159.1827,159.1827,158.7245,0.0,0.2887,0.2887,0.2226,2340,12555,0.1864,True,4,2600,0.2887,london,5,1
triangle,361,2511,159.134,159.134,158.7245,0.0,0.258,0.258,0.1177,2295,12555,0.1828,True,4,2565,0.258,london,5,1
trunc_square,362,2514,159.2469,159.2469,158.7245,0.0,0.3291,0.3291,0.2626,2315,12570,0.1842,True,5,2590,0.3291,london,5,1
poisson,360,2533,159.1437,159.1437,158.7245,0.0,0.2641,0.2641,0.1556,2245,12665,0.1773,True,6,2560,0.2641,london,5,1
h3,631,4399,2029.199,2029.199,2028.3787,0.0,0.0404,0.0404,0.1196,2490,21995,0.1132,True,19,4215,0.0404,london,5,2
square,559,3915,2028.6553,2028.6553,2028.3787,0.0,0.0136,0.0136,0.1712,2500,19575,0.1277,True,22,4205,0.0136,london,5,2
octile,559,3915,2028.6553,2028.6553,2028.3787,0.0,0.0136,0.0136,0.1712,2530,19575,0.1292,True,21,4195,0.0136,london,5,2
triangle,557,3916,2028.4664,2028.4664,2028.3787,0.0,0.0043,0.0043,0.0257,2480,19580,0.1267,True,27,4345,0.0043,london,5,2
trunc_square,564,3921,2028.6344,2028.6344,2028.3787,0.0,0.0126,0.0126,0.1253,2460,19605,0.1255,True,18,4230,0.0126,london,5,2
poisson,562,3956,2029.2438,2029.2438,2028.3787,0.0,0.0427,0.0427,0.324,2550,19780,0.1289,True,20,4160,0.0427,london,5,2
h3,149,1041,7.8995,7.8995,7.6503,0.0,3.258,3.258,0.1195,1260,5205,0.2421,True,0,1345,3.258,london,5,3
square,132,930,7.8559,7.8559,7.6503,0.0,2.6881,2.6881,0.1938,1255,4650,0.2699,True,0,1345,2.6881,london,5,3
octile,132,930,7.8559,7.8559,7.6503,0.0,2.6881,2.6881,0.1938,1280,4650,0.2753,True,0,1370,2.6881,london,5,3
triangle,131,927,8.1172,8.1172,7.6503,0.0,6.104,6.104,0.1301,1165,4635,0.2513,True,0,1275,6.104,london,5,3
trunc_square,130,932,8.5636,8.5636,7.6503,0.0,11.9389,11.9389,0.177,1240,4660,0.2661,True,0,1350,11.9389,london,5,3
poisson,140,939,7.7129,7.7129,7.6503,0.0,0.8192,0.8192,0.1245,1290,4695,0.2748,True,0,1365,0.8192,london,5,3
h3,105,743,140.6742,140.6742,140.1697,0.0,0.3599,0.3599,0.1303,970,3715,0.2611,True,1,1085,0.3599,london,5,4
square,94,663,140.1567,140.1567,140.1697,0.0,-0.0093,-0.0093,0.0633,1080,3315,0.3258,True,3,1200,-0.0093,london,5,4
octile,94,663,140.1567,140.1567,140.1697,0.0,-0.0093,-0.0093,0.0633,1125,3315,0.3394,True,2,1230,-0.0093,london,5,4
triangle,95,663,140.1858,140.1858,140.1697,0.0,0.0114,0.0114,0.0458,990,3315,0.2986,True,5,1190,0.0114,london,5,4
trunc_square,93,661,140.1574,140.1574,140.1697,0.0,-0.0088,-0.0088,0.0586,1045,3305,0.3162,True,3,1210,-0.0088,london,5,4
poisson,101,680,140.6257,140.6257,140.1697,0.0,0.3253,0.3253,0.1949,1030,3400,0.3029,True,3,1145,0.3253,london,5,4
h3,219,1519,735.1047,735.1047,734.6089,0.0,0.0675,0.0675,0.1193,1535,7595,0.2021,True,0,1630,0.0675,london,5,5
square,192,1342,735.4,735.4,734.6089,0.0,0.1077,0.1077,0.0846,1475,6710,0.2198,True,0,1545,0.1077,london,5,5
octile,192,1342,735.4,735.4,734.6089,0.0,0.1077,0.1077,0.0846,1495,6710,0.2228,True,0,1565,0.1077,london,5,5
triangle,195,1347,735.7903,735.7903,734.6089,0.0,0.1608,0.1608,0.1621,1395,6735,0.2071,True,0,1490,0.1608,london,5,5
trunc_square,191,1346,735.0002,735.0002,734.6089,0.0,0.0533,0.0533,0.0558,1490,6730,0.2214,True,1,1605,0.0533,london,5,5
poisson,185,1336,735.879,735.879,734.6089,0.0,0.1729,0.1729,0.14,1415,6680,0.2118,True,1,1525,0.1729,london,5,5
h3,439,3091,1049.0528,1049.0528,1048.906,0.0,0.014,0.014,0.1194,2525,15455,0.1634,True,30,3525,0.014,london,5,6
square,392,2752,1048.951,1048.951,1048.906,0.0,0.0043,0.0043,0.1087,2505,13760,0.182,True,29,3495,0.0043,london,5,6
octile,392,2752,1048.951,1048.951,1048.906,0.0,0.0043,0.0043,0.1087,2545,13760,0.185,True,29,3500,0.0043,london,5,6
triangle,392,2754,1049.146,1049.146,1048.906,0.0,0.0229,0.0229,2.8554,2435,13770,0.1768,True,36,3760,0.0229,london,5,6
trunc_square,391,2750,1049.2433,1049.2433,1048.906,0.0,0.0321,0.0321,0.3377,2530,13750,0.184,True,24,3630,0.0321,london,5,6
poisson,401,2760,1049.0917,1049.0917,1048.906,0.0,0.0177,0.0177,0.2788,2560,13800,0.1855,True,32,3595,0.0177,london,5,6
h3,97,683,1.876,1.876,1.7872,-0.0,4.9699,4.9699,0.1196,995,3415,0.2914,True,0,1075,4.9699,london,5,7
square,85,610,2.4341,2.4341,1.7872,0.0,36.1967,36.1967,0.1957,985,3050,0.323,True,0,1060,36.1967,london,5,7
octile,85,610,2.4341,2.4341,1.7872,0.0,36.1967,36.1967,0.1957,1005,3050,0.3295,True,0,1080,36.1967,london,5,7
triangle,87,607,1.7597,1.7597,1.7872,0.0,-1.5374,-1.5374,0.0416,905,3035,0.2982,True,0,995,-1.5374,london,5,7
trunc_square,86,608,1.7308,1.7308,1.7872,0.0,-3.1571,-3.1571,0.0509,915,3040,0.301,True,0,975,-3.1571,london,5,7
poisson,94,610,1.7831,1.7831,1.7872,0.0,-0.2289,-0.2289,0.1054,995,3050,0.3262,True,0,1055,-0.2289,london,5,7
